user_id,time,drinking,caffeine,T-A,heart,floors,steps
14,2021-11-24 15:24:53,0,0,44.039604393207306,86,0.0,0.0
13,2021-11-21 13:22:02,0,1,43.056861565924166,67,0.0,0.0
13,2021-11-21 21:26:22,1,1,43.4008798240391,78,0.0,0.0
13,2021-11-22 06:13:30,0,1,45.29639565808201,61,0.0,28.0
13,2021-11-22 13:17:25,0,1,47.09071317274144,61,0.0,0.0
13,2021-11-22 21:08:34,0,1,45.49576696361096,63,0.0,0.0
13,2021-11-23 06:14:30,0,0,45.6806578720932,63,0.0,12.0
13,2021-11-23 12:17:46,0,1,45.55928459304649,69,0.0,0.0
13,2021-11-23 19:20:25,0,1,44.58998219199541,68,0.0,0.0
13,2021-11-23 22:02:43,0,1,43.87627564304206,67,0.0,0.0
13,2021-11-24 08:37:40,0,0,47.66450316751544,73,0.0,0.0
13,2021-11-24 11:17:13,0,1,53.88378666801893,68,0.0,0.0
13,2021-11-24 15:09:05,0,1,50.0,110,0.0,106.0
13,2021-11-24 15:28:09,0,1,43.416890177585245,76,0.0,0.0
7,2021-11-13 10:25:17,0,0,44.55011649404586,78,0.0,0.0
7,2021-11-13 18:50:24,0,0,51.40952295720482,79,0.0,0.0
7,2021-11-13 22:03:12,0,0,47.46151342703067,74,0.0,0.0
7,2021-11-14 06:52:11,0,0,40.921587009967965,73,0.0,0.0
7,2021-11-14 11:56:24,0,0,43.31846895218939,76,0.0,0.0
7,2021-11-14 18:51:24,0,0,45.28811769434069,78,0.0,0.0
7,2021-11-15 00:01:07,1,0,42.73726960797437,77,0.0,0.0
7,2021-11-15 06:05:27,0,0,60.5999788000636,84,0.0,0.0
7,2021-11-15 11:59:39,0,0,44.16694718146759,86,0.0,12.0
7,2021-11-15 18:01:28,0,0,48.94785406425216,70,0.0,0.0
7,2021-11-16 05:27:05,0,0,46.82446325585022,93,0.0,0.0
7,2021-11-16 05:28:32,0,0,53.90371028799833,93,0.0,0.0
7,2021-11-16 13:16:15,0,0,43.31846895218939,70,0.0,0.0
2,2021-11-05 15:47:47,0,0,42.57218647291793,75,0.0,0.0
2,2021-11-05 18:36:46,0,0,45.52786404500042,71,0.0,0.0
2,2021-11-06 01:23:27,0,0,44.63171872904981,82,0.0,0.0
2,2021-11-06 10:37:53,0,0,42.07594184306939,65,0.0,0.0
2,2021-11-06 13:11:52,0,0,48.43826238111394,81,0.0,0.0
2,2021-11-06 20:58:02,0,1,43.07179676972449,80,0.0,0.0
2,2021-11-07 02:05:41,0,1,45.52786404500042,63,0.0,0.0
2,2021-11-07 10:38:17,0,0,45.52786404500042,63,0.0,0.0
2,2021-11-07 13:16:00,0,0,45.52786404500042,80,0.0,37.0
2,2021-11-08 01:24:29,0,1,45.52786404500042,60,0.0,0.0
2,2021-11-08 08:50:08,0,0,50.7881104062391,81,0.0,0.0
2,2021-11-08 15:27:05,0,1,50.314192111803344,76,0.0,0.0
2,2021-11-08 18:26:43,0,0,45.52786404500042,88,0.0,9.0
6,2021-11-12 06:02:49,1,0,60.3169099923739,90,0.0,0.0
6,2021-11-12 12:01:10,0,0,45.6806578720932,109,0.0,0.0
6,2021-11-12 18:03:08,0,0,55.61489925074877,77,0.0,0.0
6,2021-11-12 22:02:03,0,0,51.77704663327728,83,0.0,0.0
6,2021-11-13 09:54:07,0,0,48.596275187312806,68,0.0,0.0
6,2021-11-13 12:18:29,0,0,42.3152672063216,63,0.0,0.0
6,2021-11-13 19:36:53,0,0,59.5577900872195,76,0.0,0.0
6,2021-11-13 22:42:28,0,0,51.469106320623176,72,0.0,0.0
6,2021-11-14 09:48:39,0,0,55.33113989983183,60,0.0,0.0
6,2021-11-14 12:06:52,0,0,60.0,74,0.0,0.0
6,2021-11-14 19:57:43,0,0,59.97054485501582,77,0.0,0.0
6,2021-11-14 23:47:00,0,0,56.76481425202546,72,0.0,0.0
6,2021-11-15 09:43:32,0,0,53.27978232685552,66,0.0,0.0
17,2021-11-26 15:18:03,0,1,60.94540909230988,71,0.0,0.0
17,2021-11-26 18:38:16,0,0,52.25493808400849,63,0.0,0.0
17,2021-11-26 21:36:53,1,1,45.52786404500042,67,0.0,0.0
17,2021-11-27 06:45:58,0,0,70.13995972012083,65,0.0,0.0
17,2021-11-27 11:18:56,0,0,59.86666070043373,64,0.0,0.0
17,2021-11-27 18:23:30,0,0,50.85435765771676,63,0.0,0.0
17,2021-11-27 22:02:35,1,0,45.52786404500042,57,0.0,0.0
17,2021-11-28 07:15:25,0,0,51.96116135138184,68,0.0,0.0
17,2021-11-28 11:45:55,0,0,55.773502691896255,82,0.0,0.0
17,2021-11-28 18:18:48,0,0,59.89949493661167,80,0.0,0.0
17,2021-11-28 22:04:13,0,0,45.52786404500042,55,0.0,0.0
17,2021-11-29 06:44:03,0,0,53.01511344577764,61,0.0,0.0
17,2021-11-29 11:25:59,0,0,62.37436867076458,70,0.0,0.0
17,2021-11-29 16:01:56,0,0,62.24744871391589,77,0.0,0.0
